state,mean,sd,count
AB,18.542002449408884,10.382202644422373,1958
ACT,16.9009880768549,1.4735085404018806,2
AL,19.148995480366224,9.651453443694018,523
AR,17.6321441320823,7.46150789886893,487
AZ,19.447990257012236,7.628702115436585,969
BC,17.903185051637575,10.216402638603812,123
CA,15.334808020342857,5.804216023962012,3247
CO,20.063904868471177,10.32733924459076,1192
CT,18.31565531497552,10.472214139526455,419
DC,22.063405703878065,11.489630968881945,172
DE,16.828870166464334,7.328555388084744,113
FL,17.922522319719867,7.785858263333741,1431
GA,18.96508113613511,8.46473489395361,2462
IA,20.255490344423574,10.32578574107243,392
ID,19.62683549712141,9.957878095894143,177
IL,17.7823194712366,8.948899044225096,3586
IN,18.252083312753516,8.734896761060822,1159
KS,17.365376297166158,7.229666129848976,473
KY,19.099851975263096,8.28385336637929,471
LA,17.203987444104165,6.094555326954947,305
MA,18.488110090644,9.640733458586304,1188
MB,22.778322376136003,14.002069131532949,170
MD,19.87620947220324,10.660187062607134,1963
ME,16.012053393695453,7.7538200652406495,9
MI,17.08596348413261,8.474408012010258,2191
MN,21.452380193706613,12.791662115048535,1128
MO,18.277759966318218,8.912352730316323,1001
MS,18.71556815696394,7.1278308452967485,171
MT,16.70797726572798,9.70083283472492,27
NB,21.0603477334001,11.433773839560727,15
NC,19.82991323886134,9.627186525196747,2265
ND,21.248342639692517,11.771265123484596,58
NE,19.935514200597268,9.524514093162846,272
NEW SOUTH WALES,14.19187944209334,2.2075949573847065,2
NH,17.821168356345954,9.930675763099137,155
NJ,17.596818632736337,8.617465050264656,1371
NM,19.349202219945113,9.323116364985086,162
NS,19.77148787587196,10.020389584400979,12
NU,13.175867985825427,0.4969632818030776,2
NUEVO LEON,20.057009768478316,14.025927020076866,4
NV,18.95645977071959,7.450001419129762,343
NY,17.27548917838606,9.194005049624035,1183
OH,17.14129023577398,7.834455064624596,1580
OK,18.583407560087636,10.275935197316326,396
ON,19.748370672411475,11.685326812839754,4323
OR,16.851323834297215,8.117238783317172,428
PA,18.020434645030484,9.196049211527765,1450
PR,19.620839255822183,9.096968569412802,8
QC,24.55979750288333,15.635692072418308,398
RI,16.02447344563822,6.9874459909416435,143
SC,19.58097540585873,9.227578362284348,880
SD,20.695073620637014,10.269456876691983,75
SK,21.642747165858015,13.772323479859686,124
SURREY,18.071503484562438,17.136316993730436,2
TEHRAN,26.300478796110895,14.402672394157051,3
TN,19.035132312663738,7.995830302414597,1062
TX,19.52656949724216,9.912223991905348,4346
UT,19.74315269300585,9.564124452660417,1081
VA,19.988404052474174,10.042057312541253,1751
VERACRUZ,7.2592788069779735,3.7722974658483306,3
VT,19.647661197770905,10.990561460252165,16
WA,16.431036037021187,8.110942760795943,514
WI,19.040617049874548,10.99734948436299,1000
WV,18.33257414616768,7.5463149055596705,114
WY,23.059041266015907,13.397836242724667,35
